CDKN2B,NCBI:1030
CDKN2C,NCBI:1031
CDKN2D,NCBI:1032
CDKN3,NCBI:1033
CDO1,NCBI:1036
CDR1,NCBI:1038
CDR2,NCBI:1039
CDS1,NCBI:1040
CDSN,NCBI:1041
CD52,NCBI:1043
CDX1,NCBI:1044
CDX2,NCBI:1045
CDX4,NCBI:1046
CLGN,NCBI:1047
CEACAM5,NCBI:1048
CEBPA,NCBI:1050
CEBPB,NCBI:1051
CEBPD,NCBI:1052
CEBPE,NCBI:1053
CEBPG,NCBI:1054
CECR,NCBI:1055
CEL,NCBI:1056
CELP,NCBI:1057
CENPA,NCBI:1058
CENPB,NCBI:1059
CENPC,NCBI:1060
CENPCP1,NCBI:1061
CENPE,NCBI:1062
CENPF,NCBI:1063
CES1,NCBI:1066
CETN1,NCBI:1068
CETN2,NCBI:1069
CETN3,NCBI:1070
CETP,NCBI:1071
CFL1,NCBI:1072
CFL2,NCBI:1073
CFL1P5,NCBI:1074
CTSC,NCBI:1075
CFTR,NCBI:1080
CGA,NCBI:1081
CGB3,NCBI:1082
CGF1,NCBI:1083
CEACAM3,NCBI:1084
CEACAMP5,NCBI:1085
CEACAMP11,NCBI:1086
CEACAM7,NCBI:1087
CEACAM8,NCBI:1088
CEACAM4,NCBI:1089
CEACAMP1,NCBI:1090
CEACAMP2,NCBI:1091
CEACAMP3,NCBI:1092
CEACAMP4,NCBI:1093
CEACAMP6,NCBI:1094
CEACAMP7,NCBI:1095
CEACAMP8,NCBI:1096
CEACAMP9,NCBI:1097
CEACAMP10,NCBI:1098
CHAD,NCBI:1101
RCBTB2,NCBI:1102
CHAT,NCBI:1103
RCC1,NCBI:1104
CHD1,NCBI:1105
CHD2,NCBI:1106
CHD3,NCBI:1107
CHD4,NCBI:1108
AKR1C4,NCBI:1109
CHEK1,NCBI:1111
FOXN3,NCBI:1112
CHGA,NCBI:1113
CHGB,NCBI:1114
CHI3L1,NCBI:1116
CHI3L2,NCBI:1117
CHIT1,NCBI:1118
CHKA,NCBI:1119
CHKB,NCBI:1120
CHM,NCBI:1121
CHML,NCBI:1122
CHN1,NCBI:1123
CHN2,NCBI:1124
CHRM1,NCBI:1128
CHRM2,NCBI:1129
LYST,NCBI:1130
CHRM3,NCBI:1131
CHRM4,NCBI:1132
CHRM5,NCBI:1133
CHRNA1,NCBI:1134
CHRNA2,NCBI:1135
CHRNA3,NCBI:1136
CHRNA4,NCBI:1137
CHRNA5,NCBI:1138
CHRNA7,NCBI:1139
CHRNB1,NCBI:1140
CHRNB2,NCBI:1141
CHRNB3,NCBI:1142
CHRNB4,NCBI:1143
CHRND,NCBI:1144
CHRNE,NCBI:1145
CHRNG,NCBI:1146
CHUK,NCBI:1147
CIDEA,NCBI:1149
CKB,NCBI:1152
CIRBP,NCBI:1153
CISH,NCBI:1154
TBCB,NCBI:1155
CKBE,NCBI:1156
CKBP1,NCBI:1157
CKM,NCBI:1158
CKMT1B,NCBI:1159
CKMT2,NCBI:1160
ERCC8,NCBI:1161
CKS1B,NCBI:1163
CKS2,NCBI:1164
CLA3,NCBI:1167
AP2M1,NCBI:1173
AP1S1,NCBI:1174
